Position,Track Name,Artist,Streams,URL,Date
19,hot girl bummer,blackbear,15465132,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,1/2/2020
20,Vete,Bad Bunny,15413004,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,1/2/2020
21,Ride It,Regard,15031525,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,1/2/2020
22,Watermelon Sugar,Harry Styles,14548153,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,1/2/2020
23,HIGHEST IN THE ROOM,Travis Scott,13722175,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,1/2/2020
24,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13525959,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,1/2/2020
25,China,Anuel AA,13153651,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,1/2/2020
26,BOP,DaBaby,13108721,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,1/2/2020
27,OUT WEST (feat. Young Thug),JACKBOYS,13014508,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,1/2/2020
28,I Don't Care (with Justin Bieber),Ed Sheeran,12885850,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,1/2/2020
29,Heartless,The Weeknd,12781406,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,1/2/2020
30,Beautiful People (feat. Khalid),Ed Sheeran,12673326,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,1/2/2020
31,Lucid Dreams,Juice WRLD,12337982,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/2/2020
32,No Idea,Don Toliver,12330887,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,1/2/2020
33,Bandit (with YoungBoy Never Broke Again),Juice WRLD,12112872,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,1/2/2020
34,Fantasias,Rauw Alejandro,11929120,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,1/2/2020
35,Before You Go,Lewis Capaldi,11851834,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,1/2/2020
36,GANG GANG,JACKBOYS,11484613,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,1/2/2020
37,Futsal Shuffle 2020,Lil Uzi Vert,11472876,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,1/2/2020
38,WHAT TO DO? (feat. Don Toliver),JACKBOYS,10980949,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,1/2/2020
39,Had Enough (feat. Quavo & Offset),Don Toliver,10967607,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,1/2/2020
40,Lose Control,MEDUZA,10632666,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,1/2/2020
41,7 rings,Ariana Grande,10570155,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,1/2/2020
42,How Do You Sleep?,Sam Smith,10544297,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,1/2/2020
43,LA CANCIÓN,J Balvin,10501991,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,1/2/2020
44,Old Town Road - Remix,Lil Nas X,10483714,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,1/2/2020
45,"10,000 Hours (with Justin Bieber)",Dan + Shay,10360035,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,1/2/2020
46,Lalala,Y2K,10215601,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,1/2/2020
47,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,10019267,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,1/2/2020
48,Hola - Remix,Dalex,9966686,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,1/2/2020
49,Ayy Macarena,Tyga,9810547,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,1/2/2020
50,Callaita,Bad Bunny,9768682,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,1/2/2020
51,Sigues Con El,Dímelo Flow,9509134,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,1/2/2020
52,Suicidal,YNW Melly,9498868,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,1/2/2020
53,Whine Up,Nicky Jam,9384022,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,1/2/2020
54,Psycho,Red Velvet,9132322,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,1/2/2020
55,No Me Conoce - Remix,Jhay Cortez,9079621,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,1/2/2020
56,Ransom,Lil Tecca,9048763,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1/2/2020
57,Ballin' (with Roddy Ricch),Mustard,8987983,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,1/2/2020
58,Goodbyes (Feat. Young Thug),Post Malone,8942304,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,1/2/2020
59,Trampoline,SHAED,8896030,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,1/2/2020
60,Que Tire Pa Lante,Daddy Yankee,8685806,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,1/2/2020
61,Adicto (with Anuel AA & Ozuna),Tainy,8685590,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,1/2/2020
62,Falling,Harry Styles,8657010,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,1/2/2020
63,Shallow,Lady Gaga,8610933,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,1/2/2020
64,when the party's over,Billie Eilish,8571275,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,1/2/2020
65,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,8343580,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,1/2/2020
66,Happier,Marshmello,8323023,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,1/2/2020
67,lovely (with Khalid),Billie Eilish,8225411,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,1/2/2020
68,Lights Up,Harry Styles,8182978,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,1/2/2020
69,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,8022267,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,1/2/2020
70,Yellow Hearts,Ant Saunders,7816424,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,1/2/2020
71,Roses - Imanbek Remix,SAINt JHN,7718200,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,1/2/2020
72,GATTI,JACKBOYS,7685470,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,1/2/2020
73,It's You,Ali Gatie,7647143,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,1/2/2020
74,Wow.,Post Malone,7583437,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,1/2/2020
75,Piece Of Your Heart,MEDUZA,7528318,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,1/2/2020
76,Robbery,Juice WRLD,7413273,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,1/2/2020
